Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,DIGCOMP2.2,DigComp 2.2 - The Digital Competence Framework for Citizens,"<div class=""container text-center p-3"" style=""background: #d9e6f7;"">
<h1><img src=""https://ec.europa.eu/social/BlobServlet?mode=displayPicture&amp;photoId=12260"" alt="""" width=""100%""></h1>
<div class=""card"">
<div class=""card-body"" style=""text-align: justify;"">The Digital Competence Framework for Citizen (DigComp) provides a common understanding of what digital competence is. The present publication has two main parts: the integrated DigComp 2.2 framework provides more than 250 new examples of knowledge, skills and attitudes that help citizens engage confidently, critically and safely with digital technologies, and new and emerging ones such as systems driven by artificial intelligence (AI). The framework is also made available following the digital accessibility guidelines, as creating accessible digital resources is an important priority today. The second part of the publication gives a snapshot of the existing reference material for DigComp consolidating previously released publications and references.</div>
</div>
</div>
<p>&nbsp;</p>
<div class=""card-footer text-muted small"">Vuorikari, R., Kluzer, S. and Punie, Y., DigComp 2.2: The Digital Competence Framework for Citizens - With new examples of knowledge, skills and attitudes, EUR 31006 EN, Publications Office of the European Union, Luxembourg, 2022, ISBN 978-92-76-48882-8, <a href=""https://dx.doi.org/10.2760/115376"" target=""_blank"" rel=""noopener"">doi:10.2760/115376</a>, <a href=""https://publications.jrc.ec.europa.eu/repository/handle/JRC128415"" target=""_blank"" rel=""noopener"">JRC128415</a>.</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"domain,competency,proficiency,practice"
,DIGCOMP2.2-D1,1. INFORMATION AND DATA LITERACY,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: linear-gradient(180deg,rgba(214,179,60,1)0%,rgba(214,179,60,0)100%);"">
<div class=""row"">
<div class=""col-md-12""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DIGCOMP2.2-D1.png"" alt=""Information and data literacy"" width=""100%"">
<div class=""alert alert-danger"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To articulate information needs, to locate and retrieve digital data, information and content.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To judge the relevance of the source and its content&nbsp;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To store, manage, and organise digital data, information and content.</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,DIGCOMP2.2-D2,2. COMMUNICATION AND COLLABORATION,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: linear-gradient(180deg,rgba(105,171,222,1)0%,rgba(105,171,222,0)100%);"">
<div class=""row"">
<div class=""col-md-12""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DIGCOMP2.2-D2.png"" alt=""Communication and collaboration"" width=""100%"">
<div class=""alert alert-danger"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To interact, communicate and collaborate through digital technologies while being aware of cultural and generational diversity.&nbsp;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To participate in society through public and private digital services and participatory citizenship.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To manage one's digital presence, identity and reputation.</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,DIGCOMP2.2-D3,3. DIGITAL CONTENT CREATION,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: linear-gradient(180deg,rgba(213,124,43,1)0%,rgba(213,124,43,0)100%);"">
<div class=""row"">
<div class=""col-md-12""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DIGCOMP2.2-D3.png"" alt=""Digital content creation"" width=""100%"">
<div class=""alert alert-danger"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To create and edit digital content.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To improve and integrate information and content into an existing body of knowledge while understanding how copyright and licences are to be applied.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To know how to give understandable instructions for a computer system.</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,DIGCOMP2.2-D4,4. SAFETY,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: linear-gradient(180deg,rgba(120,169,111,1)0%,rgba(120,169,111,0)100%);"">
<div class=""row"">
<div class=""col-md-12""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DIGCOMP2.2-D4.png"" alt=""Safety"" width=""100%"">
<div class=""alert alert-danger"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To protect devices, content, personal data and privacy in digital environments.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To protect physical and psychological health, and to be aware of digital technologies for social well-being and social inclusion.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To be aware of the environmental impact of digital technologies and their use.</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,DIGCOMP2.2-D5,5. PROBLEM SOLVING,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: linear-gradient(180deg,rgba(217,96,116,1)0%,rgba(217,96,116,0)100%);"">
<div class=""row"">
<div class=""col-md-12""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DIGCOMP2.2-D5.png"" alt=""Problem solving"" width=""100%"">
<div class=""alert alert-danger"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To identify needs and problems, and to resolve conceptual problems and problem situations in digital environments.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To use digital tools to innovate processes and products,</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To keep up-to-date with the digital evolution</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
DIGCOMP2.2-D1,DIGCOMP2.2-D1-C1,"1.1: BROWSING, SEARCHING AND FILTERING DATA, INFORMATION AND DIGITAL CONTENT","<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: linear-gradient(180deg,rgba(214,179,60,1)0%,rgba(214,179,60,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-danger"">
<h1>🔩 Essential components</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To articulate information needs, to search for data, information and content in digital environments, to access them and to navigate between them.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To create and update personal search strategies.</li>
</ol>
</div>
<div class=""alert alert-info"">
<h1>📚 Knowledge</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">1.&nbsp;Knows that some online content in search result may not be open access or freely available and may require a fee or signing up for a service in order to access it.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">2. Aware that online content that is available to users at no monetary cost is often paid for by advertising or by selling the user&rsquo;s data.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">3.&nbsp;Aware that search results, social media activity streams and content recommendations on the internet are influenced by a range of factors. These factors include the search terms used, the context (e.g. geographical location), the device (e.g. laptop or mobile phone), local regulations (which sometimes dictate what can or cannot be shown), the behaviour of other users (e.g. trending searches or recommendations) and the user&rsquo;s past online behaviour across the internet.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">4. Aware that search engines, social media and content platforms often use AI algorithms to generate responses that are adapted to the individual user (e.g. users continue to see similar results or content). This is often referred to as &ldquo;personalisation&rdquo;. (AI)</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">5. Aware that AI algorithms work in ways that are usually not visible or easily understood by users. This is often referred to as &ldquo;black box&rdquo; decision-making as it may be impossible to trace back how and why an algorithm makes specific suggestions or predictions. (AI)</li>
</ol>
</div>
<div class=""alert alert-success"">
<h1>🚲 Skills</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-success list-group-item-action"">6.&nbsp;Can choose the search engine that most likely meets one&rsquo;s information needs as different search engines can provide different results even for the same query.</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">7. Knows how to improve search results by using a search engine&rsquo;s advanced features (e.g. specifying exact phrase, language, region, date last updated).</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">8.&nbsp;Knows how to formulate search queries to achieve the desired output when interacting with conversational agents or smart speakers (e.g. Siri, Alexa, Cortana, Google Assistant), e.g. recognising that, for the system to be able to respond as required, the query must be unambiguous and spoken clearly so that the system can respond..(AI)</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">9. Can make use of information presented as hyperlinks, in non-textual form (e.g. flowcharts, knowledge maps) and in dynamic representations (e.g. data).</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">10. Develops effective search methods for personal purposes (e.g. to browse a list of most popular films) and professional purposes (e.g. to find appropriate job advertisements).</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">11. Knows how to handle information overload and &ldquo;infodemic&rdquo; (i.e. increase of false or misleading information during a disease outbreak) by adapting personal search methods and strategies.</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>❤️ Attitudes</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">12.&nbsp;Intentionally avoids distractions and aims to avoid information overload when accessing and navigating information, data and content.</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">13. Values tools designed to protect search privacy and other rights of users (e.g. browsers such as DuckDuckGo).</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">14. Weighs the benefits and disadvantages of using AI-driven search engines (e.g. while they might help users find the desired information, they may compromise privacy and personal data, or subject the user to commercial interests). (AI)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">15.&nbsp;Concerned that much online information and content may not be accessible to people with a disability, for example to users who rely on screen reader technologies to read aloud the content of a web page (DA).</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
DIGCOMP2.2-D1,DIGCOMP2.2-D1-C2,"1.2: EVALUATING DATA, INFORMATION AND DIGITAL CONTENT","<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: linear-gradient(180deg,rgba(214,179,60,1)0%,rgba(214,179,60,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-danger"">
<h1>🔩 Essential components</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To analyse, interpret and critically evaluate the data, information and digital content.</li>
</ol>
</div>
<div class=""alert alert-info"">
<h1>📚 Knowledge</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">16.&nbsp;Aware that online environments contain all types of information and content including misinformation and disinformation, and even if a topic is widely reported it does not necessarily mean it is accurate.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">17.&nbsp;Understands the difference between disinformation (false information with the intent to deceive people) and misinformation (false information regardless of intent to deceive or mislead people).</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">18. Knows the importance of identifying who is behind information found on the internet (e.g. on social media) and verifying it by checking multiple sources, to help recognise and understand point of view or bias behind particular information and data sources.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">19. Aware of potential information biases caused by various factors (e.g. data, algorithms, editorial choices, censorship, one&rsquo;s own personal limitations).</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">20. Knows that the term &ldquo;deep-fakes&rdquo; refers to AI-generated images, videos or audio recordings of events or persons that did not really happen (e.g. speeches by politicians, celebrity faces on pornographic imagery). They may be impossible to distinguish from the real thing. (AI)</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">21. Aware that AI algorithms might not be configured to provide only the information that the user wants; they might also embody a commercial or political message (e.g. to encourage users to stay on the site, to watch or buy something particular, to share specific opinions). This can also have negative consequences (e.g. reproducing stereotypes, sharing misinformation). (AI)</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">22. Aware that the data, on which AI depends, may include biases. If so, these biases can become automated and worsened by the use of AI. For example, search results about occupation may include stereotypes about male or female jobs (e.g. male bus drivers, female sales persons). (AI)</li>
</ol>
</div>
<div class=""alert alert-success"">
<h1>🚲 Skills</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-success list-group-item-action"">23.&nbsp;Carefully considers the top/first search results in both text-based and audio searches, as they may reflect commercial and other interests rather than be the most appropriate results for the query.</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">24. Knows how to differentiate sponsored content from other content online (e.g. recognising advertisements and marketing messages on social media or search engines) even if it is not marked as sponsored.</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">25.&nbsp;Knows how to analyse and critically evaluate search results and social media activity streams, to identify their origins, to distinguish fact-reporting from opinion, and to determine whether outputs are truthful or have other limitations (e.g. economic, political, religious interests).</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">26. Knows how to find the author or the source of the information, to verify whether it is credible (e.g. an expert or authority in a relevant discipline).</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">27. Able to recognise that some AI algorithms may reinforce existing views in digital environments by creating &ldquo;echo chambers&rdquo; or &ldquo;filter bubbles&rdquo; (e.g. if a social media stream favours a particular political ideology, additional recommendations can reinforce that ideology without exposing it to opposing arguments). (AI)</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>❤️ Attitudes</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">28.&nbsp;Inclined to ask critical questions in order to evaluate the quality of online information, and concerned about purposes behind spreading and amplifying disinformation.</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">29. Willing to fact-check a piece of information and assess its accuracy, reliability and authority, while preferring primary sources over secondary sources of information where possible.</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">30. Carefully considers the possible outcome before clicking a link. Some links (e.g. compelling titles) could be &ldquo;clickbait&rdquo; that takes the user to sponsored or unwanted content (e.g. pornography).</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
DIGCOMP2.2-D1,DIGCOMP2.2-D1-C3,"1.3: MANAGING DATA, INFORMATION AND DIGITAL CONTENT","<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: linear-gradient(180deg,rgba(214,179,60,1)0%,rgba(214,179,60,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-danger"">
<h1>🔩 Essential components</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To organise, store and retrieve data, information, and content in digital environments.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To organise and process them in a structured environment.</li>
</ol>
</div>
<div class=""alert alert-info"">
<h1>📚 Knowledge</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">31.&nbsp;Aware that many applications on the internet and mobile phones collect and process data (personal data, behavioural data and contextual data) that the user can access or retrieve, for example, to monitor their activities online (e.g. clicks in social media, searches on Google) and offline (e.g. daily steps, bus rides on public transport).</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">32.&nbsp;Aware that for data (e.g. numbers, text, images, sounds) to be processed by a program, they have to be first properly digitised (i.e. digitally encoded).</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">33.&nbsp;Knows that data collected and processed, for example by online systems, can be used to recognise patterns (e.g. repetitions) in new data (i.e. other images, sounds, mouse clicks, online behaviours) to further optimise and personalise online services (e.g. advertisements).</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">34.&nbsp;Aware that sensors used in many digital technologies and applications (e.g. facial tracking cameras, virtual assistants, wearable technologies, mobile phones, smart devices) generate large amounts of data, including personal data, that can be used to train an AI system. (AI)</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">35.&nbsp;Knows that open data repositories exist where anyone can get data to support some problem solving activities (e.g. citizens can use open data to generate thematic maps or other digital content).</li>
</ol>
</div>
<div class=""alert alert-success"">
<h1>🚲 Skills</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-success list-group-item-action"">36.&nbsp;Knows how to collect digital data using basic tools such as online forms, and present them in an accessible way (e.g. using headers in tables).</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">37. Can apply basic statistical procedures to data in a structured environment (e.g. spreadsheet) to produce graphs and other visualisations (e.g. histograms, bar charts, pie charts).</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">38.&nbsp;Knows how to interact with dynamic data visualisation and can manipulate dynamic graphs of interest (e.g. as provided by Eurostat, government websites).</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">39.&nbsp;Can differentiate between different types of storage locations (local devices, local network, cloud) that are the most appropriate to use (e.g. data on the cloud is available anytime and from anywhere, but has implications for access time).</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">40.&nbsp;Can use data tools (e.g. databases, data mining, analysis software) designed to manage and organise complex information, to support decision-making and solving problems.</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>❤️ Attitudes</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">41.&nbsp;Considers transparency when manipulating and presenting data to ensure reliability, and spots data that are expressed with underlying motives (e.g. unethical, profit, manipulation) or in misleading ways.</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">42. Watchful of accuracy when evaluating sophisticated representations of data (e.g. tables or visualisations as they could be used to mislead one&rsquo;s judgement by trying to give a false sense of objectivity.</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
DIGCOMP2.2-D2,DIGCOMP2.2-D2-C1,2.1: INTERACTING THROUGH DIGITAL TECHNOLOGIES,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: linear-gradient(180deg,rgba(105,171,222,1)0%,rgba(105,171,222,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-danger"">
<h1>🔩 Essential components</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To interact through a variety of digital technologies and to understand appropriate digital communication means for a given context.</li>
</ol>
</div>
<div class=""alert alert-info"">
<h1>📚 Knowledge</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">43.&nbsp;Knows that many communication services (e.g. instant messaging) and social media are free of charge because they are partly paid for by advertising and monetising user data.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">44.&nbsp;Aware that many communication services and digital environments (e.g. social media) use mechanisms such as nudging, gamification and manipulation to influence user behaviour.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">45.&nbsp;Aware which communication tools and services (e.g. phone, email, video conference, social network, podcast) are appropriate in specific circumstances (e.g. synchronous, asynchronous), depending on the audience, context and purpose of the communication. Aware that some tools and services also provide an accessibility statement. (DA)</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">46. Aware of the need to formulate messages in digital environments so that they are easily understandable by the targeted audience or the recipient.</li>
</ol>
</div>
<div class=""alert alert-success"">
<h1>🚲 Skills</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-success list-group-item-action"">47.&nbsp;Knows how to use a variety of videoconferencing features (e.g. moderating a session, recording audio and video).</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">48.&nbsp;Able to achieve effective communication in asynchronous (non-simultaneous) mode using digital tools (e.g. for reporting and briefing, sharing ideas, giving feedback and advice, scheduling meetings, communicating milestones). (RW)</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">49.&nbsp;Knows how to use digital tools for informal communication with colleagues in order to develop and maintain social relations (e.g. to reproduce conversations such as those during face-to-face coffee breaks). (RW)</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">50. Knows how to identify signs that indicate whether one is communicating with a human or an AI-based conversational agent (e.g. when using text- or voice-based chatbots). (AI)</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">51.&nbsp;Able to interact and give feedback to the AI system (e.g. by giving user ratings, likes, tags to online content) to influence what it next recommends (e.g. to get more recommendations on similar movies that the user previously liked). (AI)</li>
<li class=""list-group-item list-group-item-success list-group-item-action"">52.&nbsp;Considers the need to balance asynchronous and synchronous communication activities (e.g. to minimise video conferencing fatigue, to respect co-workers time and preferred working hours).</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>❤️ Attitudes</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">53.&nbsp;Willing to listen to others and to engage in online conversations with confidence, clarity and reciprocity, both in personal and social contexts.</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">54. Open to AI systems supporting humans to make informed decisions in accordance with their goals (e.g. users actively deciding whether to act upon a recommendation or not). (AI)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">55. Willing to adapt an appropriate communication strategy depending on the situation and digital tool: verbal strategies (written, oral language), non-verbal strategies (body language, facial expressions, tone of voice), visuals strategies (signs, icons, illustrations) or mixed strategies.</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
