Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,DigCompEdu-fr,DigCompEdu - Cadre européen pour la Compétence Numérique des Éducateurs,"<div class=""container text-center p-3"" style=""background: #d9e6f7;""><img src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DigCompEdu.png"" alt="""" width=""100%"">
<div class=""card"">
<div class=""card-body"" style=""text-align: justify;"">
<p>Les professions de l'enseignement &eacute;tant confront&eacute;es &agrave; des demandes en &eacute;volution rapide, les &eacute;ducateurs ont besoin d'un ensemble de comp&eacute;tences de plus en plus large et de plus en plus sophistiqu&eacute;. En particulier, l'omnipr&eacute;sence des appareils num&eacute;riques et le devoir d'aider les &eacute;tudiants &agrave; devenir num&eacute;riquement comp&eacute;tents exigent des &eacute;ducateurs qu'ils d&eacute;veloppent leurs propres comp&eacute;tences num&eacute;riques.<br>Au niveau international et national, un certain nombre de cadres, d'outils d'auto-&eacute;valuation et de programmes de formation ont &eacute;t&eacute; d&eacute;velopp&eacute;s pour d&eacute;crire les facettes de la comp&eacute;tence num&eacute;rique des &eacute;ducateurs et pour les aider &agrave; &eacute;valuer leurs comp&eacute;tences, &agrave; identifier leurs besoins de formation et &agrave; offrir une formation cibl&eacute;e. En analysant et en regroupant ces instruments, ce rapport pr&eacute;sente un cadre europ&eacute;en commun pour la comp&eacute;tence num&eacute;rique des &eacute;ducateurs (DigCompEdu). DigCompEdu est un cadre de r&eacute;f&eacute;rence scientifiquement solide qui aide &agrave; orienter les politiques et peut &ecirc;tre directement adapt&eacute; pour mettre en &oelig;uvre des outils et des programmes de formation r&eacute;gionaux et nationaux. En outre, il fournit un langage et une approche communs qui faciliteront le dialogue et l'&eacute;change de bonnes pratiques au-del&agrave; des fronti&egrave;res.<br>Le cadre DigCompEdu s'adresse aux &eacute;ducateurs &agrave; tous les niveaux d'&eacute;ducation, de la petite enfance &agrave; l'enseignement sup&eacute;rieur et &agrave; l'&eacute;ducation des adultes, en passant par la formation g&eacute;n&eacute;rale et professionnelle, l'&eacute;ducation des personnes ayant des besoins particuliers et les contextes d'apprentissage non formel. Il vise &agrave; fournir un cadre de r&eacute;f&eacute;rence g&eacute;n&eacute;ral pour les d&eacute;veloppeurs de mod&egrave;les de comp&eacute;tences num&eacute;riques, c'est-&agrave;-dire les &Eacute;tats membres, les gouvernements r&eacute;gionaux, les agences nationales et r&eacute;gionales concern&eacute;es, les organisations &eacute;ducatives elles-m&ecirc;mes et les prestataires de formation professionnelle publics ou priv&eacute;s.</p>
</div>
</div>
</div>
<p>&nbsp;</p>
<div class=""card-footer text-muted small"">DigCompEdu. Punie, Y. (ed). EUR 28775 EN. Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73494-6, <a href=""https://dx.doi.org/10.2760/159770"" target=""_blank"" rel=""noopener"">doi:10.2760/159770</a>, <a href=""https://publications.jrc.ec.europa.eu/repository/handle/JRC107466"" target=""_blank"" rel=""noopener"">JRC107466</a></div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"domain,competency,proficiency,indicator"
,DigCompEdu-fr-D1,ENGAGEMENT PROFESSIONNEL,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #ee8032;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p>La comp&eacute;tence num&eacute;rique des &eacute;ducateurs se traduit par leur capacit&eacute; &agrave; utiliser les technologies num&eacute;riques non seulement pour am&eacute;liorer l'enseignement, mais aussi pour leurs interactions professionnelles avec leurs coll&egrave;gues, les apprenants, les parents et les autres parties int&eacute;ress&eacute;es, pour leur d&eacute;veloppement professionnel individuel et pour le bien collectif et l'innovation continue au sein de l'organisation et de la profession d'enseignant.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,DigCompEdu-fr-D2,RESSOURCES NUMÉRIQUES,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #30932d;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p>Les &eacute;ducateurs sont actuellement confront&eacute;s &agrave; une multitude de ressources num&eacute;riques (&eacute;ducatives) qu'ils peuvent utiliser pour enseigner. L'une des comp&eacute;tences cl&eacute;s que tout &eacute;ducateur doit d&eacute;velopper est de s'accommoder de cette vari&eacute;t&eacute;, d'identifier efficacement les ressources qui correspondent le mieux &agrave; ses objectifs d'apprentissage, &agrave; son groupe d'apprenants et &agrave; son style d'enseignement, de structurer la richesse du mat&eacute;riel, d'&eacute;tablir des connexions et de modifier, d'ajouter et de d&eacute;velopper lui-m&ecirc;me des ressources num&eacute;riques pour soutenir son enseignement.<br>Parall&egrave;lement, ils doivent &ecirc;tre conscients de la mani&egrave;re d'utiliser et de g&eacute;rer les contenus num&eacute;riques de mani&egrave;re responsable. Ils doivent respecter les r&egrave;gles relatives aux droits d'auteur lorsqu'ils utilisent, modifient et partagent des ressources, et prot&eacute;ger les contenus et donn&eacute;es sensibles, tels que les examens num&eacute;riques ou les notes des &eacute;l&egrave;ves.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,DigCompEdu-fr-D3,ENSEIGNEMENT ET APPRENTISSAGE,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #3e84c1;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p>Les technologies num&eacute;riques peuvent renforcer et am&eacute;liorer les strat&eacute;gies d'enseignement et d'apprentissage de nombreuses mani&egrave;res diff&eacute;rentes. Cependant, quelle que soit la strat&eacute;gie ou l'approche p&eacute;dagogique choisie, la comp&eacute;tence num&eacute;rique sp&eacute;cifique de l'&eacute;ducateur consiste &agrave; orchestrer efficacement l'utilisation des technologies num&eacute;riques dans les diff&eacute;rentes phases et contextes du processus d'apprentissage. La comp&eacute;tence fondamentale dans ce domaine &mdash; et peut-&ecirc;tre dans l'ensemble du cadre &mdash; est : l'Enseignement. Cette comp&eacute;tence fait r&eacute;f&eacute;rence &agrave; la conception, &agrave; la planification et &agrave; la mise en &oelig;uvre de l'utilisation des technologies num&eacute;riques dans les diff&eacute;rentes phases du processus d'apprentissage.<br>Des comp&eacute;tences telles que l'orientation, l'apprentissage collaboratif et l'apprentissage autor&eacute;gul&eacute; compl&egrave;tent cette comp&eacute;tence en soulignant que le v&eacute;ritable potentiel des technologies num&eacute;riques r&eacute;side dans le fait que le processus d'enseignement n'est plus dirig&eacute; par l'enseignant mais centr&eacute; sur l'apprenant. Ainsi, le r&ocirc;le d'un &eacute;ducateur num&eacute;riquement comp&eacute;tent est d'&ecirc;tre un mentor et un guide pour les apprenants dans leurs efforts d'apprentissage progressivement plus autonomes. En ce sens, les &eacute;ducateurs comp&eacute;tents dans le domaine num&eacute;rique doivent &ecirc;tre capables de concevoir de nouvelles m&eacute;thodes, soutenues par les technologies num&eacute;riques, pour guider et soutenir les apprenants, individuellement et collectivement, et pour initier, soutenir et contr&ocirc;ler les activit&eacute;s d'apprentissage autor&eacute;gul&eacute; et collaboratif.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,DigCompEdu-fr-D4,ÉVALUATION,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #009f9e;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p>L'&eacute;valuation peut &ecirc;tre un facilitateur ou un goulot d'&eacute;tranglement pour l'innovation dans l'&eacute;ducation. Lors de l'int&eacute;gration des technologies num&eacute;riques dans l'apprentissage et l'enseignement, nous devons r&eacute;fl&eacute;chir &agrave; la mani&egrave;re dont les technologies num&eacute;riques peuvent am&eacute;liorer les strat&eacute;gies d'&eacute;valuation existantes. Dans le m&ecirc;me temps, nous devons &eacute;galement r&eacute;fl&eacute;chir &agrave; la mani&egrave;re dont elles peuvent &ecirc;tre utilis&eacute;es pour cr&eacute;er ou faciliter des approches d'&eacute;valuation innovantes.<br>Les &eacute;ducateurs comp&eacute;tents sur le plan num&eacute;rique devraient &ecirc;tre en mesure d'utiliser les technologies num&eacute;riques dans le cadre de l'&eacute;valuation en gardant ces deux objectifs &agrave; l'esprit.<br>En outre, l'utilisation des technologies num&eacute;riques dans l'&eacute;ducation, que ce soit &agrave; des fins d'&eacute;valuation, d'apprentissage, d'administration ou autres, permet de disposer d'un large &eacute;ventail de donn&eacute;es sur le comportement d'apprentissage de chaque apprenant. Il devient de plus en plus important d'analyser et d'interpr&eacute;ter ces donn&eacute;es et de les utiliser pour prendre des d&eacute;cisions, en compl&eacute;ment de l'analyse des donn&eacute;es conventionnelles sur le comportement de l'apprenant.<br>Dans le m&ecirc;me temps, les technologies num&eacute;riques peuvent contribuer &agrave; suivre directement les progr&egrave;s de l'apprenant, &agrave; faciliter le retour d'information et &agrave; permettre aux &eacute;ducateurs d'&eacute;valuer et d'adapter leurs strat&eacute;gies d'enseignement.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,DigCompEdu-fr-D5,AUTONOMISATION DES APPRENANTS,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #5f3881;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p>L'un des principaux atouts des technologies num&eacute;riques dans l'&eacute;ducation est leur capacit&eacute; &agrave; soutenir des strat&eacute;gies p&eacute;dagogiques centr&eacute;es sur l'apprenant et &agrave; stimuler l'implication active des apprenants dans le processus d'apprentissage et leur appropriation de celui-ci. Ainsi, les technologies num&eacute;riques peuvent &ecirc;tre utilis&eacute;es pour faciliter l'engagement actif des apprenants, (e.g., lors de l'exploration d'un sujet, de l'exp&eacute;rimentation de diff&eacute;rentes options ou solutions, de la compr&eacute;hension des liens, de l'&eacute;laboration de solutions cr&eacute;atives ou de la cr&eacute;ation d'un artefact et de la r&eacute;flexion sur celui-ci.<br>Les technologies num&eacute;riques peuvent en outre contribuer &agrave; soutenir la diff&eacute;renciation des classes et l'&eacute;ducation personnalis&eacute;e en proposant des activit&eacute;s d'apprentissage adapt&eacute;es au niveau de comp&eacute;tence, aux int&eacute;r&ecirc;ts et aux besoins d'apprentissage de chaque apprenant. Dans le m&ecirc;me temps, il faut toutefois veiller &agrave; ne pas exacerber les in&eacute;galit&eacute;s existantes (e.g., en mati&egrave;re d'acc&egrave;s aux technologies num&eacute;riques ou aux comp&eacute;tences num&eacute;riques) et &agrave; garantir l'accessibilit&eacute; &agrave; tous les apprenants, y compris ceux qui ont des besoins &eacute;ducatifs particuliers.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,DigCompEdu-fr-D6,FACILITATION DE LA COMPÉTENCE NUMÉRIQUE DES APPRENANTS,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #cf3558;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p>La comp&eacute;tence num&eacute;rique est l'une des comp&eacute;tences transversales que les &eacute;ducateurs doivent inculquer aux apprenants.<br>Alors que le d&eacute;veloppement d'autres comp&eacute;tences transversales ne fait partie de la comp&eacute;tence num&eacute;rique des &eacute;ducateurs que dans la mesure o&ugrave; les technologies num&eacute;riques sont utilis&eacute;es &agrave; cette fin, la capacit&eacute; &agrave; faciliter la comp&eacute;tence num&eacute;rique des apprenants fait partie int&eacute;grante de la comp&eacute;tence num&eacute;rique des &eacute;ducateurs.<br>C'est pourquoi cette capacit&eacute; m&eacute;rite un domaine sp&eacute;cifique dans le cadre DigCompEdu. La comp&eacute;tence num&eacute;rique des apprenants est prise en compte par le cadre europ&eacute;en de comp&eacute;tences num&eacute;riques pour les citoyens (DigComp). Le domaine DigCompEdu suit donc la m&ecirc;me logique et d&eacute;taille cinq comp&eacute;tences dont le contenu et la description sont align&eacute;s sur DigComp. Les titres ont toutefois &eacute;t&eacute; adapt&eacute;s pour mettre l'accent sur la dimension et l'orientation p&eacute;dagogiques au sein de ce cadre.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
DigCompEdu-fr-D1,DigCompEdu-fr-D1-C1,Communication organisationnelle,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #ee8032;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-danger"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Utiliser les technologies num&eacute;riques pour am&eacute;liorer la communication de l'organisation avec les apprenants, les parents et les tiers.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Contribuer &agrave; l'&eacute;laboration et &agrave; l'am&eacute;lioration, en collaboration, des strat&eacute;gies de communication des organisations.</li>
</ol>
</div>
<div class=""alert alert-info"">
<h1>🔧 Activit&eacute;s</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Utiliser les technologies num&eacute;riques pour mettre &agrave; la disposition des apprenants (et des parents) des ressources d'apprentissage et des informations suppl&eacute;mentaires.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Utiliser les technologies num&eacute;riques pour communiquer aux apprenants et aux parents les proc&eacute;dures d'organisation (e.g., rendez-vous, &eacute;v&eacute;nements).</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Utiliser les technologies num&eacute;riques pour informer les apprenants et les parents sur une base individuelle, (e.g., sur les progr&egrave;s et les sujets de pr&eacute;occupation.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Utiliser les technologies num&eacute;riques pour communiquer avec les coll&egrave;gues de la m&ecirc;me organisation et au-del&agrave;.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ D'utiliser les technologies num&eacute;riques pour communiquer avec des tiers en rapport avec le projet &eacute;ducatif, (e.g., experts &agrave; inviter, lieux &agrave; visiter...).</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Communiquer via le site web de l'organisation ou via des technologies num&eacute;riques d'entreprise, des plateformes ou des services de communication contract&eacute;s.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Contribuer au contenu du site web ou de l'environnement d'apprentissage virtuel de l'organisation.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Contribuer &agrave; l'&eacute;laboration et &agrave; l'am&eacute;lioration, en collaboration, des strat&eacute;gies de communication de l'organisation.</li>
</ol>
</div>
<img src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DigCompEdu-D1-C1.png"" alt="""" width=""100%""></div>
</div>
</div>",,,,,,,,,,"
"
DigCompEdu-fr-D1,DigCompEdu-fr-D1-C2,Collaboration professionnelle,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #ee8032;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-danger"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Utiliser les technologies num&eacute;riques pour collaborer avec d'autres &eacute;ducateurs, partager et &eacute;changer des connaissances et des exp&eacute;riences, et innover de mani&egrave;re collaborative en mati&egrave;re de pratiques p&eacute;dagogiques.</li>
</ol>
</div>
<div class=""alert alert-info"">
<h1>🔧 Activit&eacute;s</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Utiliser les technologies num&eacute;riques pour collaborer avec d'autres &eacute;ducateurs sur un projet ou une t&acirc;che sp&eacute;cifique.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Utiliser les technologies num&eacute;riques pour partager et &eacute;changer des connaissances, des ressources et des exp&eacute;riences avec des coll&egrave;gues et des pairs.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Utiliser les technologies num&eacute;riques pour d&eacute;velopper des ressources p&eacute;dagogiques en collaboration.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Utiliser les r&eacute;seaux professionnels de collaboration pour explorer et r&eacute;fl&eacute;chir &agrave; de nouvelles pratiques et m&eacute;thodes p&eacute;dagogiques.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Utiliser les r&eacute;seaux de collaboration professionnelle comme source de son propre d&eacute;veloppement professionnel.</li>
</ol>
</div>
<img src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DigCompEdu-D1-C2.png"" alt="""" width=""100%""></div>
</div>
</div>",,,,,,,,,,"
"
DigCompEdu-fr-D1,DigCompEdu-fr-D1-C3,Pratique réflexive,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #ee8032;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-danger"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">R&eacute;fl&eacute;chir individuellement et collectivement, &eacute;valuer de mani&egrave;re critique et d&eacute;velopper activement sa propre pratique p&eacute;dagogique num&eacute;rique et celle de sa communaut&eacute; &eacute;ducative.</li>
</ol>
</div>
<div class=""alert alert-info"">
<h1>🔧 Activit&eacute;s</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ R&eacute;fl&eacute;chir de mani&egrave;re critique &agrave; sa propre pratique num&eacute;rique et p&eacute;dagogique.&nbsp;</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Identifier les lacunes en mati&egrave;re de comp&eacute;tences et les domaines &agrave; am&eacute;liorer.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Rechercher l'aide d'autrui pour am&eacute;liorer sa pratique num&eacute;rique et p&eacute;dagogique.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ De rechercher des formations cibl&eacute;es et d'utiliser les opportunit&eacute;s de d&eacute;veloppement professionnel continu.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ S'efforcer d'&eacute;largir et d'am&eacute;liorer en permanence son r&eacute;pertoire de pratiques p&eacute;dagogiques num&eacute;riques.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Aider les autres &agrave; d&eacute;velopper leurs comp&eacute;tences en mati&egrave;re de p&eacute;dagogie num&eacute;rique.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Au niveau de l'organisation, r&eacute;fl&eacute;chir et fournir un retour critique sur les politiques et pratiques num&eacute;riques.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ Contribuer activement au d&eacute;veloppement des pratiques, politiques et visions de l'organisation en mati&egrave;re d'utilisation des technologies num&eacute;riques.</li>
</ol>
</div>
<img src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DigCompEdu-D1-C3.png"" alt="""" width=""100%""></div>
</div>
</div>",,,,,,,,,,"
"
