Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,DigCompEdu,DigCompEdu - European Framework for the Digital Competence of Educators,"<div class=""container text-center p-3"" style=""background: #d9e6f7;""><img src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DigCompEdu.png"" alt="""" width=""100%"">
<div class=""card"">
<div class=""card-body"" style=""text-align: justify;"">As the teaching professions face rapidly changing demands, educators require an increasingly broad and more sophisticated set of competences than before. In particular the ubiquity of digital devices and the duty to help students become digitally competent requires educators to develop their own digital competence.<br>On International and national level a number of frameworks, self-assessment tools and training programmes have been developed to describe the facets of digital competence for educators and to help them assess their competence, identify their training needs and offer targeted training. Analysing and clustering these instruments, this report presents a common European Framework for the Digital Competence of Educators (DigCompEdu). DigCompEdu is a scientifically sound background framework which helps to guide policy and can be directly adapted to implement regional and national tools and training programmes. In addition, it provides a common language and approach that will help the dialogue and exchange of best practices across borders.<br>The DigCompEdu framework is directed towards educators at all levels of education, from early childhood to higher and adult education, including general and vocational training, special needs education, and non-formal learning contexts. It aims to provide a general reference frame for developers of Digital Competence models, i.e. Member States, regional governments, relevant national and regional agencies, educational organisations themselves, and public or private professional training providers.</div>
</div>
</div>
<p>&nbsp;</p>
<div class=""card-footer text-muted small"">DigCompEdu. Punie, Y. (ed). EUR 28775 EN. Publications Office of the European Union, Luxembourg, 2017,&nbsp;ISBN 978-92-79-73494-6, <a href=""https://dx.doi.org/10.2760/159770"" target=""_blank"" rel=""noopener"">doi:10.2760/159770</a>, <a href=""https://publications.jrc.ec.europa.eu/repository/handle/JRC107466"" target=""_blank"" rel=""noopener"">JRC107466</a></div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"domain,competency,proficiency,indicator"
,DigCompEdu-D1,PROFESSIONAL ENGAGEMENT,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #ee8032;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p>Educators&rsquo; digital competence is expressed in their ability to use digital technologies not only to enhance teaching, but&nbsp;also for their professional interactions with colleagues, learners, parents and other interested parties, for their individual&nbsp;professional development and for the collective good and continuous innovation in the organisation and the teaching&nbsp;profession.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,DigCompEdu-D2,DIGITAL RESOURCES,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #30932d;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">Educators are currently confronted with a wealth of digital (educational) resources they can use for teaching. One of the&nbsp;key competences any educator needs to develop is to come to terms with this variety, to effectively identify resources&nbsp;that best fit their learning objectives, learner group and teaching style, to structure the wealth of materials, establish&nbsp;connections and to modify, add on to and develop themselves digital resources to support their teaching.<br>At the same time they need to be aware of how to responsibly use and manage digital content. They must respect&nbsp;copyright rules when using, modifying and sharing resources, and protect sensitive content and data, such as digital&nbsp;exams or students&rsquo; grades.</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,DigCompEdu-D3,TEACHING AND LEARNING,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #3e84c1;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">Digital technologies can enhance and improve teaching and learning strategies in many different ways. However, whatever pedagogic strategy or approach is chosen, the educator&rsquo;s specific digital competence lies in effectively orchestrating the use of digital technologies in the different phases and settings of the learning process. The fundamental competence in this area &ndash; and maybe of the whole framework - is : <strong>Teaching</strong>. This competence refers to designing, planning and implementing the use of digital technologies in the different stages of the learning process.<br>Competences like <strong>Guidance</strong>, <strong>Collaborative learning</strong> and <strong>Self-regulated learning</strong> complement this competence by emphasizing that the real potential of digital technologies lies in&nbsp;shifting the focus of the teaching process from teacher-led to learner-centred processes. Thus the role of a digitally-competent&nbsp;educator is to be a mentor and guide for learners in their progressively more autonomous learning endeavours. In this sense, digitally-competent educators need to be able to design new ways, supported by digital technologies, to provide <strong>guidance </strong>and support to learners, individually and collectively and to initiate, support and monitor both <strong>self-regulated </strong>and <strong>collaborative</strong> learning activities.</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,DigCompEdu-D4,ASSESSMENT,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #009f9e;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">Assessment can be a facilitator or bottleneck to&nbsp;innovation in education. When integrating digital&nbsp;technologies into learning and teaching, we must&nbsp;consider how digital technologies can enhance&nbsp;existing assessment strategies. At the same time, we&nbsp;must also consider how they can be used to create&nbsp;or to facilitate innovative assessment approaches.<br>Digitally-competent educators should be able to use&nbsp;digital technologies within assessment with those&nbsp;two objectives in mind.<br>Furthermore, the use of digital technologies in education, whether for assessment, learning, administrative or other purposes, results in a wide range of data being available on each individual&nbsp;learner&rsquo;s learning behaviour. Analysing and&nbsp;interpreting this data and using it to help make&nbsp;decisions is becoming more and more important&nbsp;&ndash; complemented by the analysis of conventional&nbsp;evidence on learner behaviour.<br>At the same time, digital technologies can contribute&nbsp;to directly monitoring learner progress, to facilitating&nbsp;feedback and to allowing educators to assess and&nbsp;adapt their teaching strategies.</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,DigCompEdu-D5,EMPOWERING LEARNERS,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #5f3881;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">One of the key strengths of digital technologies in education is their potential for supporting learner-centred pedagogic&nbsp;strategies and boosting the active involvement of learners in the learning process and their ownership of it. Thus, digital&nbsp;technologies can be used to facilitate learners&rsquo; active engagement, e.g. when exploring a topic, experimenting with&nbsp;different options or solutions, understanding connections, coming up with creative solutions or creating an artefact and&nbsp;reflecting on it.<br>Digital technologies can furthermore contribute to supporting classroom differentiation and personalised education by&nbsp;offering learning activities adapted to each individual learner&rsquo;s level of competence, interests and learning needs. At the&nbsp;same time, however, care must be taken not to exacerbate existing inequalities (e.g. in access to digital technologies or&nbsp;digital skills) and to ensure accessibility for all learners, including those with special educational needs.</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,DigCompEdu-D6,FACILITATING LEARNERS’ DIGITAL COMPETENCE,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #cf3558;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">Digital competence is one of the transversal&nbsp;competences educators need to instil in learners.<br>Whereas fostering other transversal competences&nbsp;is only part of educators&rsquo; digital competence in as&nbsp;far as digital technologies are used to do so, the&nbsp;ability to facilitate learners&rsquo; digital competence is&nbsp;an integral part of educators&rsquo; digital competence.<br>Because of this, this ability merits a dedicated area&nbsp;in the DigCompEdu framework&nbsp;Learners&rsquo; digital competence is captured by the&nbsp;European Digital Competence Framework for Citizens&nbsp;(DigComp). Thus, the DigCompEdu area follows the&nbsp;same logic and details five competences aligned in&nbsp;content and description with DigComp. The headlines,&nbsp;however, have been adapted to emphasize the&nbsp;pedagogical dimension and focus within this&nbsp;framework.</div>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
DigCompEdu-D1,DigCompEdu-D1-C1,Organisational communication,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #ee8032;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-danger"">
<h1>🔩 Essential components</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To use digital technologies to enhance organisational communication with learners, parents and third parties.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">To contribute&nbsp;to collaboratively developing and improving organisational communication strategies.</li>
</ol>
</div>
<div class=""alert alert-info"">
<h1>🔧 Activities</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To use digital technologies to make additional&nbsp;learning resources and information available to&nbsp;learners (and parents).</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To use digital technologies to communicate&nbsp;organisational procedures to learners and&nbsp;parents, e.g. rules, appointments, events.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To use digital technologies to inform learners and&nbsp;parents on an individual basis, e.g. on progress&nbsp;and issues of concern.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To use digital technologies to communicate with&nbsp;colleagues in the same organisation and beyond.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To use digital technologies to communicate with&nbsp;third parties relevant to the educational project,&nbsp;e.g. experts to be invited, places to be visited.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To communicate via the organisation&rsquo;s website or&nbsp;through corporate digital technologies, platforms&nbsp;or communication services contracted.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To contribute with content to the organisation&rsquo;s&nbsp;website or virtual learning environment.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To contribute to collaboratively developing&nbsp;and improving organisational communication&nbsp;strategies.</li>
</ol>
</div>
<img src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DigCompEdu-D1-C1.png"" alt="""" width=""100%""></div>
</div>
</div>",,,,,,,,,,"
"
DigCompEdu-D1,DigCompEdu-D1-C2,Professional collaboration,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #ee8032;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-danger"">
<h1>🔩 Essential components</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To use digital technologies to engage in collaboration with other educators, sharing and exchanging knowledge and experience, and collaboratively innovating pedagogic practices.</li>
</ol>
</div>
<div class=""alert alert-info"">
<h1>🔧 Activities</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To use digital technologies to collaborate with other educators, on a dedicated project or task.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To use digital technologies to share and exchange knowledge, resources and experiences with colleagues and peers.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To use digital technologies to collaboratively develop educational resources.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To use professional collaborative networks to explore and reflect on new pedagogic practices and methods.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To use professional collaborative networks as a source for one&rsquo;s own professional development.</li>
</ol>
</div>
<img src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DigCompEdu-D1-C2.png"" alt="""" width=""100%""></div>
</div>
</div>",,,,,,,,,,"
"
DigCompEdu-D1,DigCompEdu-D1-C3,Reflective practice,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #ee8032;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-danger"">
<h1>🔩 Essential components</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">To individually and collectively reflect on, critically assess and actively develop one&rsquo;s own digital pedagogical practice and that of one&rsquo;s educational community.</li>
</ol>
</div>
<div class=""alert alert-info"">
<h1>🔧 Activities</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To critically reflect on one&rsquo;s own digital and pedagogic practice.&nbsp;</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To identify competence gaps and areas for improvement.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To seek the help of others in improving one&rsquo;s digital and pedagogical practice.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To seek targeted training and use opportunities for continuous professional development.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To seek to continuously expand and enhance one&rsquo;s repertoire of digital pedagogical practices.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To help others in developing their digital pedagogical competence.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ At the organisational level, to reflect on and provide critical feedback on digital policies and practices.</li>
<li class=""list-group-item list-group-item-info list-group-item-action"" style=""text-align: justify;"">◆ To actively contribute to further developing organisational practices, policies and visions on the use of digital technologies.</li>
</ol>
</div>
<img src=""https://eldoomcbe.github.io/_mcf_NUM/assets/DigCompEdu-D1-C3.png"" alt="""" width=""100%""></div>
</div>
</div>",,,,,,,,,,"
"
